VN,ZA,nuclide,action,nubase_line,csv_raw_value,csv_raw_unit,line_raw_value,line_raw_unit,reported_half_life_s,line_expected_half_life_s,line_rel_error,status
CsI_Bottom_Quadrant_00,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_Bottom_Quadrant_02,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_Bottom_Quadrant_03,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_Bottom_Quadrant_01,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_Side_Segment_07,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_Side_Segment_01,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_Side_Segment_06,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_Side_Segment_00,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_Side_Segment_02,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_Side_Segment_05,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
ColdPlate_4K,29064,Cu-64,kept_rescaled,914,12.7004,h,12.7004,h,45721.44,45721.44,0.0,PASS
CsI_Side_Segment_04_below_side_port,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_Side_Segment_03_below_side_port,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,13028,Al-28,kept_rescaled,276,2.245,m,2.245,m,134.70000000000002,134.70000000000002,0.0,PASS
Window,13028,Al-28,kept_rescaled,276,2.245,m,2.245,m,134.70000000000002,134.70000000000002,0.0,PASS
CsI_TopAnnulus_Segment_07,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
Window,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_TopAnnulus_Segment_05,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_Side_Segment_03_above_side_port,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,13028,Al-28,kept_rescaled,276,2.245,m,2.245,m,134.70000000000002,134.70000000000002,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,13028,Al-28,kept_rescaled,276,2.245,m,2.245,m,134.70000000000002,134.70000000000002,0.0,PASS
Passive_W_Bottom_Plate_detector_bay,74187,W-187,kept_rescaled,4206,23.809,h,23.809,h,85712.40000000001,85712.40000000001,0.0,PASS
CsI_Side_Segment_04_above_side_port,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_TopAnnulus_Segment_01,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_TopAnnulus_Segment_04,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,12027,Mg-27,kept_rescaled,263,9.435,m,9.435,m,566.1,566.1,0.0,PASS
CsI_TopAnnulus_Segment_00,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
Plate_300K_Top_Service_Lid,13028,Al-28,kept_rescaled,276,2.245,m,2.245,m,134.70000000000002,134.70000000000002,0.0,PASS
CsI_Bottom_Quadrant_01,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_Bottom_Quadrant_00,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_Bottom_Quadrant_03,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_Bottom_Quadrant_02,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_Side_Segment_01,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_Side_Segment_00,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_Side_Segment_06,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_Side_Segment_05,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_Side_Segment_07,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_Side_Segment_02,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_Side_Segment_03_below_side_port,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_Side_Segment_04_below_side_port,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_Side_Segment_03_above_side_port,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_TopAnnulus_Segment_03,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
Window,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_Side_Segment_04_above_side_port,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_TopAnnulus_Segment_06,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_TopAnnulus_Segment_07,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_TopAnnulus_Segment_02,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_TopAnnulus_Segment_00,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_TopAnnulus_Segment_01,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_TopAnnulus_Segment_05,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_TopAnnulus_Segment_04,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
